order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000030,CUST_00697,2025-11-28,App,Delivered,109.58,0.0,109.58,COD,
ORD_000031,CUST_00570,2025-10-23,App,Delivered,78.42,19.72,58.7,Wallet,WELCOME15
ORD_000032,CUST_00441,2025-12-31,Web,Delivered,176.9,24.79,152.11,COD,
ORD_000033,CUST_00690,2025-11-21,Web,Delivered,226.31,45.03,181.28,Card,SAVE10
ORD_000034,CUST_00190,2026-01-03,Web,Delivered,1033.66,188.06,845.6,COD,VIP25
ORD_000035,CUST_00199,2025-11-24,App,Delivered,243.34,0.0,243.34,Card,
ORD_000036,CUST_00736,2025-12-04,App,In Transit,665.26,81.25,584.01,Wallet,
ORD_000037,CUST_00705,2025-12-14,App,Delivered,452.05,0.0,452.05,Wallet,
ORD_000038,CUST_01237,2025-11-12,Web,In Transit,203.5,0.0,203.5,COD,
ORD_000039,CUST_00542,2025-11-01,Call Center,Delivered,281.21,53.44,227.77,Card,
ORD_000040,CUST_00089,2025-10-21,Web,Delivered,1652.13,0.0,1652.13,Card,
ORD_000041,CUST_01495,2025-12-10,Web,Delivered,284.91,0.0,284.91,COD,
ORD_000042,CUST_00941,2026-01-04,App,Delivered,470.07,77.56,392.51,COD,MEGA30
ORD_000043,CUST_00256,2025-12-28,Web,Delivered,198.22,0.0,198.22,Card,
ORD_000044,CUST_01993,2025-12-05,App,Delivered,233.21,0.0,233.21,COD,
ORD_000045,CUST_01889,2025-12-06,Web,Delivered,758.5,114.38,644.12,Apple Pay,VIP25
ORD_000046,CUST_00162,2025-11-23,Web,Delivered,477.61,0.0,477.61,Card,
ORD_000047,CUST_01131,2025-10-15,App,Returned,1450.77,205.23,1245.54,COD,FLASH20
ORD_000048,CUST_01699,2025-11-19,App,Delivered,380.74,0.0,380.74,COD,
ORD_000049,CUST_01288,2025-12-06,Web,Delivered,294.97,0.0,294.97,Card,
ORD_000050,CUST_01267,2025-11-08,Web,Delivered,776.83,0.0,776.83,COD,
ORD_000051,CUST_01814,2025-11-23,Web,Delivered,470.99,0.0,470.99,COD,
ORD_000052,CUST_01765,2025-11-30,Web,Delivered,403.25,39.11,364.14,Card,FLASH20
ORD_000053,CUST_01183,2025-11-10,Web,Cancelled,511.49,0.0,511.49,COD,
ORD_000054,CUST_00394,2025-12-17,App,Delivered,372.09,0.0,372.09,Card,
ORD_000055,CUST_01443,2025-10-19,App,Cancelled,529.36,0.0,529.36,COD,
ORD_000056,CUST_00143,2025-11-27,Web,Delivered,1783.73,0.0,1783.73,Card,
ORD_000057,CUST_00094,2025-10-30,App,Delivered,391.01,0.0,391.01,Apple Pay,
ORD_000058,CUST_01355,2025-10-24,App,Delivered,834.64,0.0,834.64,Card,
ORD_000059,CUST_00467,2025-12-01,Web,Delivered,574.62,0.0,574.62,Card,
ORD_000060,CUST_01584,2025-10-24,App,Delivered,477.41,0.0,477.41,Wallet,
ORD_000061,CUST_00593,2025-12-06,App,Cancelled,332.35,0.0,332.35,Wallet,
ORD_000062,CUST_00164,2025-12-08,App,Delivered,1858.78,248.81,1609.97,COD,
ORD_000063,CUST_00477,2025-10-19,Web,Delivered,519.33,0.0,519.33,Wallet,
ORD_000064,CUST_01775,2025-10-13,Web,Delivered,1468.64,275.39,1193.25,COD,SAVE10
ORD_000065,CUST_00779,2025-11-30,App,Delivered,795.03,0.0,795.03,Card,
ORD_000066,CUST_00570,2025-11-19,App,Delivered,232.32,0.0,232.32,Apple Pay,
ORD_000067,CUST_00929,2025-10-14,Web,Delivered,397.26,44.13,353.13,Card,SPECIAL5
ORD_000068,CUST_01709,2025-10-28,App,Delivered,581.07,55.62,525.45,Wallet,FLASH20
ORD_000069,CUST_00334,2025-11-10,App,Delivered,292.47,0.0,292.47,Card,
ORD_000070,CUST_00759,2025-11-10,Web,Delivered,531.95,0.0,531.95,COD,
ORD_000071,CUST_00728,2025-11-27,Web,Delivered,501.76,0.0,501.76,COD,
ORD_000072,CUST_00430,2026-01-02,Web,Delivered,99.27,0.0,99.27,COD,
ORD_000073,CUST_01373,2025-10-21,Web,Delivered,867.2,0.0,867.2,Card,
ORD_000074,CUST_00547,2025-12-16,App,Delivered,619.38,89.22,530.16,Wallet,SPECIAL5
ORD_000075,CUST_01919,2025-11-15,Web,Cancelled,249.24,0.0,249.24,Card,
ORD_000076,CUST_01400,2025-11-30,Web,Delivered,599.2,0.0,599.2,Card,
ORD_000077,CUST_01328,2025-11-29,Web,Delivered,1072.11,183.47,888.64,Wallet,SAVE10
ORD_000078,CUST_01248,2025-11-04,Web,Cancelled,618.47,0.0,618.47,Wallet,
ORD_000079,CUST_01301,2025-12-25,Web,In Transit,113.07,6.09,106.98,Card,WELCOME15
ORD_000080,CUST_01094,2025-12-13,Web,Delivered,539.24,136.56,402.68,Apple Pay,SPECIAL5
ORD_000081,CUST_00502,2025-11-28,App,Delivered,127.44,0.0,127.44,Apple Pay,
ORD_000082,CUST_00335,2025-12-22,App,In Transit,816.51,97.03,719.48,COD,VIP25
ORD_000083,CUST_00778,2025-12-08,Web,In Transit,446.89,28.47,418.42,Apple Pay,FLASH20
ORD_000084,CUST_01896,2025-11-25,App,Delivered,244.28,0.0,244.28,Apple Pay,
ORD_000085,CUST_01311,2025-11-05,App,Delivered,595.98,0.0,595.98,COD,
ORD_000086,CUST_01410,2025-10-26,Web,Delivered,223.83,0.0,223.83,COD,
ORD_000087,CUST_01141,2025-11-10,Web,Delivered,285.22,0.0,285.22,Card,
ORD_000088,CUST_00450,2025-12-19,App,Delivered,415.12,0.0,415.12,Wallet,
ORD_000089,CUST_01403,2025-12-29,App,Delivered,512.74,0.0,512.74,COD,
ORD_000090,CUST_00665,2026-01-03,App,Delivered,907.07,122.92,784.15,Apple Pay,
ORD_000091,CUST_01574,2025-12-09,Web,Returned,102.5,26.82,75.68,Card,
ORD_000092,CUST_00115,2025-12-21,Call Center,Delivered,763.51,0.0,763.51,COD,
ORD_000093,CUST_00470,2025-10-07,App,In Transit,1464.16,0.0,1464.16,Wallet,
ORD_000094,CUST_01684,2025-10-10,App,Delivered,1948.48,296.61,1651.87,Card,SAVE10
ORD_000095,CUST_01649,2026-01-01,Web,Delivered,479.73,0.0,479.73,Wallet,
ORD_000096,CUST_00647,2025-12-24,App,Delivered,192.72,0.0,192.72,Wallet,
ORD_000097,CUST_00822,2025-12-18,App,Delivered,770.36,94.73,675.63,Wallet,FLASH20
ORD_000098,CUST_00136,2025-12-25,App,Cancelled,280.69,0.0,280.69,Apple Pay,
ORD_000099,CUST_00433,2025-12-05,Call Center,Delivered,689.74,0.0,689.74,Card,
ORD_000100,CUST_01871,2025-12-13,Web,Delivered,114.19,20.51,93.68,COD,MEGA30
ORD_000101,CUST_01795,2025-11-29,Web,Delivered,444.94,85.46,359.48,Card,SPECIAL5
ORD_000102,CUST_00645,2025-10-31,App,Delivered,151.87,22.55,129.32,Card,WELCOME15
ORD_000103,CUST_01343,2026-01-04,Web,Delivered,1280.27,136.62,1143.65,COD,VIP25
ORD_000104,CUST_00811,2025-12-31,App,In Transit,583.72,0.0,583.72,Card,
ORD_000105,CUST_01812,2025-12-06,App,Delivered,577.92,30.18,547.74,Apple Pay,SPECIAL5
ORD_000106,CUST_00940,2026-01-03,Web,Delivered,318.06,0.0,318.06,Card,
ORD_000107,CUST_00293,2025-12-19,App,Delivered,1516.84,357.68,1159.16,COD,FLASH20
ORD_000108,CUST_00286,2025-12-26,Web,Delivered,173.52,0.0,173.52,COD,
ORD_000109,CUST_00506,2025-12-13,Call Center,Delivered,860.47,99.76,760.71,Apple Pay,SPECIAL5
ORD_000110,CUST_01150,2025-12-30,App,Delivered,144.84,0.0,144.84,Card,
ORD_000111,CUST_01104,2025-10-18,App,Delivered,1904.19,0.0,1904.19,Card,
ORD_000112,CUST_00539,2025-10-23,Web,Cancelled,846.1,71.98,774.12,COD,SPECIAL5
ORD_000113,CUST_01198,2025-12-25,Call Center,Delivered,1111.11,0.0,1111.11,Card,
ORD_000114,CUST_00878,2025-12-26,App,Delivered,958.12,0.0,958.12,Card,
ORD_000115,CUST_01839,2025-11-12,Web,In Transit,420.2,69.72,350.48,Apple Pay,MEGA30
ORD_000116,CUST_00818,2025-12-06,App,Delivered,646.43,184.02,462.41,COD,FLASH20
ORD_000117,CUST_00450,2025-12-24,App,Delivered,241.35,0.0,241.35,Wallet,
ORD_000118,CUST_00284,2025-11-07,App,Delivered,65.26,0.0,65.26,Card,
ORD_000119,CUST_01044,2025-12-01,Web,Delivered,299.83,0.0,299.83,Card,
ORD_000120,CUST_01011,2025-12-08,Web,Delivered,256.66,0.0,256.66,Card,
ORD_000121,CUST_00187,2025-12-09,Web,Delivered,591.46,143.17,448.29,Card,
ORD_000122,CUST_00097,2025-12-03,Web,Delivered,979.82,234.67,745.15,COD,
ORD_000123,CUST_00225,2025-11-29,Web,In Transit,210.19,29.13,181.06,Card,WELCOME15
ORD_000124,CUST_01286,2025-10-23,Call Center,Delivered,1003.34,0.0,1003.34,Wallet,
ORD_000125,CUST_00328,2025-10-17,Web,Delivered,150.84,0.0,150.84,COD,
ORD_000126,CUST_01623,2025-11-11,Web,Delivered,1656.98,0.0,1656.98,COD,
ORD_000127,CUST_01394,2025-10-08,App,Delivered,1219.12,0.0,1219.12,Card,
ORD_000128,CUST_00865,2025-10-07,App,Delivered,1006.62,0.0,1006.62,COD,
ORD_000129,CUST_01222,2025-12-27,App,Delivered,288.07,41.19,246.88,Card,SAVE10
ORD_000130,CUST_00789,2025-12-08,App,Delivered,1544.33,0.0,1544.33,COD,
ORD_000131,CUST_00782,2025-12-28,App,Delivered,535.17,75.12,460.05,Card,MEGA30
ORD_000132,CUST_00959,2025-11-17,App,Delivered,573.43,56.56,516.87,Wallet,MEGA30
ORD_000133,CUST_00515,2025-11-19,Web,In Transit,518.64,0.0,518.64,Card,
ORD_000134,CUST_01989,2025-12-17,App,Delivered,698.02,0.0,698.02,Wallet,
ORD_000135,CUST_01134,2025-10-18,App,Delivered,551.47,53.52,497.95,Apple Pay,
ORD_000136,CUST_01931,2025-10-22,Web,In Transit,382.7,0.0,382.7,COD,
ORD_000137,CUST_00024,2025-10-20,Web,In Transit,1214.09,0.0,1214.09,COD,
ORD_000138,CUST_01394,2025-11-05,App,Delivered,375.1,0.0,375.1,Card,
ORD_000139,CUST_01477,2026-01-02,Call Center,Delivered,136.75,13.56,123.19,Card,SAVE10
ORD_000140,CUST_01397,2025-11-26,App,Delivered,293.3,76.83,216.47,Card,MEGA30
ORD_000141,CUST_01538,2025-11-15,App,Delivered,290.5,0.0,290.5,Apple Pay,
ORD_000142,CUST_00547,2026-01-04,App,Delivered,267.17,0.0,267.17,Card,
ORD_000143,CUST_01575,2025-12-04,App,Delivered,102.54,0.0,102.54,Card,
ORD_000144,CUST_01313,2025-10-14,Web,Delivered,112.97,0.0,112.97,Card,
ORD_000145,CUST_00697,2025-12-15,Call Center,Delivered,202.6,0.0,202.6,Card,
ORD_000146,CUST_00229,2025-11-29,Call Center,Delivered,1793.65,0.0,1793.65,Card,
ORD_000147,CUST_00602,2026-01-05,App,Delivered,1620.97,89.65,1531.32,Card,VIP25
ORD_000148,CUST_00324,2025-11-21,Web,Delivered,258.88,49.65,209.23,COD,VIP25
ORD_000149,CUST_00007,2025-10-19,Call Center,Delivered,1464.25,303.53,1160.72,Card,SPECIAL5
ORD_000150,CUST_01794,2025-11-15,App,Returned,299.03,0.0,299.03,COD,
ORD_000151,CUST_01474,2025-12-25,App,Delivered,533.82,84.54,449.28,Apple Pay,FLASH20
ORD_000152,CUST_01991,2026-01-04,App,Delivered,114.24,0.0,114.24,COD,
ORD_000153,CUST_01026,2025-10-30,App,Delivered,659.46,107.97,551.49,Card,
ORD_000154,CUST_00366,2025-12-06,App,Delivered,572.36,0.0,572.36,Apple Pay,
ORD_000155,CUST_01040,2025-10-27,Web,Returned,1803.68,0.0,1803.68,COD,
ORD_000156,CUST_01870,2025-12-04,Call Center,Cancelled,1040.24,152.73,887.51,Wallet,SAVE10
ORD_000157,CUST_01783,2025-12-16,Call Center,Delivered,263.49,38.36,225.13,COD,SPECIAL5
ORD_000158,CUST_00612,2025-11-26,App,In Transit,225.5,0.0,225.5,COD,
ORD_000159,CUST_01724,2026-01-05,App,Delivered,581.09,81.91,499.18,COD,SPECIAL5
ORD_000160,CUST_01040,2025-12-02,Call Center,In Transit,928.04,0.0,928.04,Wallet,
ORD_000161,CUST_01248,2025-10-26,App,Delivered,225.01,20.21,204.8,Wallet,WELCOME15
ORD_000162,CUST_00314,2025-10-18,App,Delivered,193.94,0.0,193.94,Card,
ORD_000163,CUST_00766,2025-11-17,Web,Delivered,1390.56,176.88,1213.68,Card,
ORD_000164,CUST_00331,2025-11-28,App,Cancelled,144.4,8.36,136.04,Card,MEGA30
ORD_000165,CUST_01953,2025-12-25,App,Delivered,797.98,0.0,797.98,Apple Pay,
ORD_000166,CUST_01595,2025-12-27,App,Delivered,247.11,16.28,230.83,Card,MEGA30
ORD_000167,CUST_01882,2025-10-23,App,Delivered,247.82,0.0,247.82,COD,
ORD_000168,CUST_00002,2025-10-09,Call Center,In Transit,593.27,30.18,563.09,Card,MEGA30
ORD_000169,CUST_00664,2025-12-10,App,Delivered,471.37,64.16,407.21,COD,VIP25
ORD_000170,CUST_00040,2025-10-21,App,Delivered,219.67,0.0,219.67,Card,
ORD_000171,CUST_00230,2025-10-08,Call Center,Delivered,1925.57,0.0,1925.57,Card,
ORD_000172,CUST_01903,2025-10-07,Web,Delivered,791.64,89.96,701.68,Wallet,FLASH20
ORD_000173,CUST_01800,2025-11-01,App,Delivered,604.53,0.0,604.53,Card,
ORD_000174,CUST_01704,2025-11-10,Web,Delivered,180.55,19.98,160.57,Wallet,
ORD_000175,CUST_00630,2025-10-10,App,Delivered,352.12,0.0,352.12,Card,
ORD_000176,CUST_00491,2025-10-18,App,Delivered,291.36,29.12,262.24,COD,SAVE10
ORD_000177,CUST_00494,2026-01-04,App,Delivered,175.42,0.0,175.42,Card,
ORD_000178,CUST_01799,2025-10-14,App,Delivered,757.55,187.92,569.63,Card,MEGA30
ORD_000179,CUST_01940,2025-11-22,App,Delivered,590.11,0.0,590.11,Card,
ORD_000180,CUST_00162,2025-11-03,Call Center,Delivered,199.83,0.0,199.83,Wallet,
ORD_000181,CUST_00176,2025-11-25,App,Delivered,189.12,0.0,189.12,Card,
ORD_000182,CUST_01499,2025-11-15,App,Delivered,939.73,47.54,892.19,Card,VIP25
ORD_000183,CUST_01672,2025-12-21,App,Cancelled,174.26,0.0,174.26,Card,
ORD_000184,CUST_00142,2025-11-12,Web,Delivered,228.29,41.59,186.7,COD,
ORD_000185,CUST_01091,2025-11-23,App,Delivered,265.95,0.0,265.95,COD,
ORD_000186,CUST_01569,2026-01-03,Call Center,Cancelled,620.46,76.11,544.35,Wallet,WELCOME15
ORD_000187,CUST_00263,2025-11-24,App,Delivered,277.85,0.0,277.85,Wallet,
ORD_000188,CUST_01352,2025-12-09,App,Delivered,366.3,79.56,286.74,COD,VIP25
ORD_000189,CUST_01940,2025-11-10,App,Delivered,174.27,0.0,174.27,COD,
ORD_000190,CUST_01126,2025-12-12,Web,Delivered,156.18,0.0,156.18,Card,
ORD_000191,CUST_00339,2025-11-03,App,In Transit,130.71,26.03,104.68,COD,FLASH20
ORD_000192,CUST_01081,2025-10-27,App,Delivered,262.02,28.57,233.45,Card,
ORD_000193,CUST_01243,2025-10-15,Web,Delivered,268.46,0.0,268.46,COD,
ORD_000194,CUST_00867,2025-11-28,Web,Cancelled,917.85,0.0,917.85,Card,
ORD_000195,CUST_01976,2025-11-01,App,In Transit,353.52,0.0,353.52,Card,
ORD_000196,CUST_00434,2025-12-03,App,Delivered,710.98,183.07,527.91,COD,MEGA30
ORD_000197,CUST_01547,2025-12-27,App,Delivered,493.63,0.0,493.63,COD,
ORD_000198,CUST_01495,2025-12-17,App,Returned,495.54,26.78,468.76,Card,SPECIAL5
ORD_000199,CUST_00412,2025-11-02,App,Delivered,376.58,0.0,376.58,Wallet,
ORD_000200,CUST_01461,2025-12-12,Call Center,Delivered,380.89,0.0,380.89,Wallet,
ORD_000201,CUST_00639,2025-12-25,App,Delivered,326.15,24.86,301.29,COD,VIP25
ORD_000202,CUST_01376,2025-12-07,Web,Delivered,385.27,30.53,354.74,Wallet,SPECIAL5
ORD_000203,CUST_00765,2025-10-19,Web,Delivered,1814.44,277.35,1537.09,Apple Pay,VIP25
ORD_000204,CUST_01843,2025-11-07,App,Delivered,120.54,0.0,120.54,COD,
ORD_000205,CUST_01060,2025-11-21,App,Delivered,423.58,70.19,353.39,Card,VIP25
ORD_000206,CUST_00248,2025-11-21,Web,In Transit,1542.84,141.63,1401.21,COD,WELCOME15
ORD_000207,CUST_00461,2025-11-10,Web,Delivered,647.65,91.76,555.89,Card,SAVE10
ORD_000208,CUST_00693,2025-11-22,App,In Transit,1377.68,0.0,1377.68,Card,
ORD_000209,CUST_00044,2025-10-22,App,Delivered,591.37,0.0,591.37,Card,
ORD_000210,CUST_01205,2025-11-09,Web,Delivered,145.6,0.0,145.6,COD,
ORD_000211,CUST_01135,2025-11-08,Call Center,Delivered,104.76,0.0,104.76,Wallet,
ORD_000212,CUST_00472,2025-11-23,Call Center,In Transit,577.23,60.82,516.41,Wallet,MEGA30
ORD_000213,CUST_00452,2025-10-20,Call Center,In Transit,1746.03,112.46,1633.57,COD,SAVE10
ORD_000214,CUST_00146,2025-11-19,Web,Delivered,1422.82,0.0,1422.82,Card,
ORD_000215,CUST_01450,2026-01-01,App,Delivered,158.52,0.0,158.52,COD,
ORD_000216,CUST_01293,2025-10-12,Web,Delivered,586.13,34.46,551.67,Card,SAVE10
ORD_000217,CUST_00469,2025-12-24,App,Delivered,971.58,263.8,707.78,Card,SAVE10
ORD_000218,CUST_01855,2025-10-19,Web,In Transit,364.73,0.0,364.73,Card,
ORD_000219,CUST_00065,2025-11-12,App,Delivered,1342.97,244.61,1098.36,Wallet,
ORD_000220,CUST_00677,2025-12-18,App,Delivered,166.27,21.68,144.59,Card,SAVE10
ORD_000221,CUST_01053,2026-01-01,App,Delivered,364.99,0.0,364.99,COD,
ORD_000222,CUST_00488,2025-12-31,Web,Delivered,268.08,33.77,234.31,COD,FLASH20
ORD_000223,CUST_01371,2025-10-18,Web,Delivered,574.17,75.67,498.5,Card,VIP25
ORD_000224,CUST_00439,2025-10-10,App,Delivered,381.72,0.0,381.72,Apple Pay,
ORD_000225,CUST_01105,2025-12-03,Web,Delivered,876.2,0.0,876.2,Wallet,
ORD_000226,CUST_00271,2025-10-26,Call Center,Delivered,1641.02,0.0,1641.02,COD,
ORD_000227,CUST_01482,2025-10-07,Web,Delivered,655.66,0.0,655.66,Card,
ORD_000228,CUST_01916,2025-11-26,Web,Delivered,1300.28,78.18,1222.1,COD,MEGA30
ORD_000229,CUST_01181,2025-12-07,App,In Transit,306.7,78.68,228.02,Wallet,VIP25
ORD_000230,CUST_00498,2025-11-25,App,Delivered,241.86,0.0,241.86,Card,
ORD_000231,CUST_01607,2025-10-28,App,Delivered,448.71,0.0,448.71,COD,
ORD_000232,CUST_00969,2025-11-01,App,Delivered,200.37,0.0,200.37,Card,
ORD_000233,CUST_01654,2025-12-26,App,Delivered,156.67,0.0,156.67,COD,
ORD_000234,CUST_00834,2026-01-02,App,Cancelled,376.97,36.35,340.62,COD,WELCOME15
ORD_000235,CUST_00194,2025-10-15,Web,Delivered,381.54,63.35,318.19,Wallet,SAVE10
ORD_000236,CUST_01350,2025-10-18,App,Delivered,322.7,27.04,295.66,Card,VIP25
ORD_000237,CUST_00726,2025-12-03,App,In Transit,712.41,92.79,619.62,Card,VIP25
ORD_000238,CUST_00842,2025-10-27,Web,Delivered,507.93,0.0,507.93,Card,
ORD_000239,CUST_00957,2025-10-29,App,Delivered,194.99,0.0,194.99,Card,
ORD_000240,CUST_01770,2025-12-25,App,Delivered,1716.85,0.0,1716.85,Wallet,
ORD_000241,CUST_01494,2025-10-18,App,Cancelled,296.65,0.0,296.65,COD,
ORD_000242,CUST_00111,2025-10-14,App,Returned,328.98,0.0,328.98,Wallet,
ORD_000243,CUST_01380,2025-11-13,Call Center,Returned,420.49,107.84,312.65,Card,SPECIAL5
ORD_000244,CUST_01324,2025-10-29,App,Delivered,414.03,53.65,360.38,Wallet,SAVE10
ORD_000245,CUST_00125,2025-12-05,App,Delivered,218.82,0.0,218.82,COD,
ORD_000246,CUST_00825,2025-12-07,App,Delivered,394.88,0.0,394.88,COD,
ORD_000247,CUST_01492,2025-12-13,Web,Delivered,1898.97,0.0,1898.97,COD,
ORD_000248,CUST_00695,2025-12-18,App,Delivered,100.03,0.0,100.03,COD,
ORD_000249,CUST_01640,2025-12-17,Web,Delivered,271.91,0.0,271.91,Card,
ORD_000250,CUST_01765,2025-10-26,Web,Delivered,1696.91,0.0,1696.91,Card,
ORD_000251,CUST_00224,2025-11-06,App,Delivered,1507.92,0.0,1507.92,Apple Pay,
ORD_000252,CUST_00510,2025-11-16,Call Center,Delivered,278.88,42.49,236.39,Wallet,WELCOME15
ORD_000253,CUST_00390,2025-11-02,App,In Transit,218.87,22.01,196.86,Wallet,MEGA30
ORD_000254,CUST_00919,2025-12-23,Web,Delivered,1251.68,316.73,934.95,COD,WELCOME15
ORD_000255,CUST_00865,2025-11-08,App,Cancelled,160.56,0.0,160.56,COD,
ORD_000256,CUST_00376,2025-11-15,App,Cancelled,519.63,46.38,473.25,Wallet,FLASH20
ORD_000257,CUST_00948,2025-11-18,Web,Delivered,164.47,0.0,164.47,COD,
ORD_000258,CUST_00512,2025-11-03,App,Delivered,1696.28,0.0,1696.28,COD,
ORD_000259,CUST_01791,2025-11-02,Web,Delivered,462.97,55.49,407.48,COD,SAVE10
ORD_000260,CUST_00908,2025-12-05,Web,Cancelled,390.47,0.0,390.47,COD,
ORD_000261,CUST_01655,2025-11-04,Web,Delivered,258.99,17.33,241.66,Card,
ORD_000262,CUST_01754,2025-10-21,Web,Delivered,230.4,0.0,230.4,Wallet,
ORD_000263,CUST_01128,2025-12-14,App,Delivered,289.39,0.0,289.39,COD,
ORD_000264,CUST_00201,2025-12-01,App,Delivered,393.53,0.0,393.53,Card,
ORD_000265,CUST_00104,2025-11-13,Web,Delivered,285.66,38.3,247.36,COD,SPECIAL5
ORD_000266,CUST_01108,2025-10-19,Call Center,Delivered,404.28,0.0,404.28,Apple Pay,
ORD_000267,CUST_01713,2025-12-12,Web,Cancelled,897.68,201.31,696.37,COD,SAVE10
ORD_000268,CUST_01985,2025-11-01,App,Delivered,167.39,0.0,167.39,Card,
ORD_000269,CUST_00192,2025-10-07,Web,Delivered,259.96,0.0,259.96,Card,
ORD_000270,CUST_01898,2025-11-02,Call Center,Delivered,499.32,0.0,499.32,COD,
ORD_000271,CUST_01544,2025-12-25,Web,Delivered,1006.57,131.83,874.74,Wallet,
ORD_000272,CUST_00485,2025-11-04,App,Delivered,474.94,0.0,474.94,COD,
ORD_000273,CUST_00341,2025-11-18,App,Delivered,529.54,66.81,462.73,Apple Pay,VIP25
ORD_000274,CUST_00995,2025-10-07,Web,In Transit,332.98,0.0,332.98,Card,
ORD_000275,CUST_00986,2026-01-04,App,In Transit,263.81,0.0,263.81,Wallet,
ORD_000276,CUST_00438,2025-11-02,App,Delivered,469.18,0.0,469.18,Card,
ORD_000277,CUST_01771,2025-12-11,App,In Transit,207.9,26.63,181.27,Card,VIP25
ORD_000278,CUST_01849,2025-10-14,Call Center,Cancelled,592.36,0.0,592.36,Card,
ORD_000279,CUST_00121,2025-11-02,Web,Delivered,568.78,89.33,479.45,Wallet,WELCOME15
ORD_000280,CUST_00777,2025-12-16,App,Delivered,631.82,0.0,631.82,COD,
ORD_000281,CUST_00005,2025-11-02,App,Delivered,1289.78,0.0,1289.78,Card,
ORD_000282,CUST_00800,2025-12-08,App,In Transit,1110.76,0.0,1110.76,COD,
ORD_000283,CUST_00544,2025-12-21,App,Delivered,652.36,0.0,652.36,COD,
ORD_000284,CUST_01898,2025-10-09,App,Delivered,1751.19,88.99,1662.2,COD,
ORD_000285,CUST_01608,2025-10-19,App,Delivered,142.79,39.5,103.29,Wallet,VIP25
ORD_000286,CUST_00585,2025-11-18,Web,In Transit,283.87,22.61,261.26,Card,VIP25
ORD_000287,CUST_01427,2025-11-23,App,Delivered,471.4,0.0,471.4,Apple Pay,
ORD_000288,CUST_01961,2025-11-19,App,Delivered,393.92,77.92,316.0,COD,SPECIAL5
ORD_000289,CUST_01605,2026-01-05,Web,Delivered,1509.81,0.0,1509.81,Card,
ORD_000290,CUST_01139,2026-01-04,Web,Returned,492.21,0.0,492.21,Apple Pay,
ORD_000291,CUST_01356,2025-10-10,Web,Cancelled,149.71,0.0,149.71,Card,
ORD_000292,CUST_01472,2025-12-05,App,Delivered,295.35,83.3,212.05,Card,VIP25
