fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,actual_delivery_date,delivery_status,delay_reason,delivery_partner
FUL_000034,ORD_000034,Dubai Hub,Zone B,2026-01-07,2026-01-07,On Time,,QuickShip
FUL_000035,ORD_000035,Dubai Hub,Zone B,2025-11-26,2025-11-25,On Time,,FastTrack
FUL_000036,ORD_000036,Abu Dhabi Hub,Zone A,2025-12-06,,Pending,,FastTrack
FUL_000037,ORD_000037,Dubai Hub,Zone E,2025-12-18,,Pending,,FastTrack
FUL_000038,ORD_000038,Abu Dhabi Hub,Zone B,2025-11-15,,Pending,,FastTrack
FUL_000039,ORD_000039,Abu Dhabi Hub,Zone D,2025-11-04,2025-11-09,Delayed,Rider Unavailable,FastTrack
FUL_000040,ORD_000040,Abu Dhabi Hub,Zone B,2025-10-23,2025-10-25,Delayed,Traffic/Weather,QuickShip
FUL_000041,ORD_000041,Sharjah Hub,Zone A,2025-12-14,2025-12-13,On Time,,SpeedLink
FUL_000042,ORD_000042,Abu Dhabi Hub,Zone C,2026-01-06,,Failed,Traffic/Weather,QuickShip
FUL_000043,ORD_000043,Abu Dhabi Hub,Zone C,2026-01-02,2026-01-02,On Time,,QuickShip
FUL_000044,ORD_000044,Abu Dhabi Hub,Zone B,2025-12-09,2025-12-14,Delayed,Rider Unavailable,QuickShip
FUL_000045,ORD_000045,Dubai Hub,Zone D,2025-12-08,2025-12-09,Delayed,Traffic/Weather,SpeedLink
FUL_000046,ORD_000046,Dubai Hub,Zone D,2025-11-28,2025-11-24,On Time,,FastTrack
FUL_000047,ORD_000047,Abu Dhabi Hub,Zone F,2025-10-19,,Failed,Address Issue,QuickShip
FUL_000048,ORD_000048,Dubai Hub,Zone F,2025-11-24,2025-11-29,Delayed,Warehouse Delay,QuickShip
FUL_000049,ORD_000049,Sharjah Hub,Zone F,2025-12-10,2025-12-11,Delayed,Warehouse Delay,QuickShip
FUL_000050,ORD_000050,Abu Dhabi Hub,Zone C,2025-11-12,2025-11-09,On Time,,QuickShip
FUL_000051,ORD_000051,Abu Dhabi Hub,Zone B,2025-11-27,2025-11-30,Delayed,Traffic/Weather,SpeedLink
FUL_000052,ORD_000052,Sharjah Hub,Zone F,2025-12-05,2025-12-01,On Time,,FastTrack
FUL_000053,ORD_000053,Abu Dhabi Hub,Zone C,2025-11-14,,Failed,Order Cancelled,FastTrack
FUL_000054,ORD_000054,Dubai Hub,Zone D,2025-12-19,2025-12-19,On Time,,FastTrack
FUL_000055,ORD_000055,Dubai Hub,Zone C,2025-10-24,,Failed,Order Cancelled,FastTrack
FUL_000056,ORD_000056,Dubai Hub,Zone A,2025-11-29,2025-12-05,Delayed,Traffic/Weather,FastTrack
FUL_000057,ORD_000057,Abu Dhabi Hub,Zone C,2025-11-01,2025-10-31,On Time,,SpeedLink
FUL_000058,ORD_000058,Sharjah Hub,Zone B,2025-10-26,2025-10-26,On Time,,SpeedLink
FUL_000059,ORD_000059,Abu Dhabi Hub,Zone D,2025-12-05,2025-12-05,On Time,,QuickShip
FUL_000060,ORD_000060,Dubai Hub,Zone D,2025-10-26,2025-10-25,On Time,,QuickShip
FUL_000061,ORD_000061,Dubai Hub,Zone C,2025-12-08,,Failed,Order Cancelled,SpeedLink
FUL_000062,ORD_000062,Dubai Hub,Zone B,2025-12-12,2025-12-11,On Time,,SpeedLink
FUL_000063,ORD_000063,Dubai Hub,Zone F,2025-10-22,2025-10-20,On Time,,QuickShip
FUL_000064,ORD_000064,Dubai Hub,Zone D,2025-10-15,2025-10-20,Delayed,Address Issue,QuickShip
FUL_000065,ORD_000065,Dubai Hub,Zone C,2025-12-04,2025-12-02,On Time,,QuickShip
FUL_000066,ORD_000066,Dubai Hub,Zone F,2025-11-22,2025-11-28,delayed,Warehouse Delay,FastTrack
FUL_000067,ORD_000067,Dubai Hub,Zone A,2025-10-18,2025-10-15,On Time,,FastTrack
FUL_000068,ORD_000068,Sharjah Hub,Zone C,2025-10-31,2025-11-06,Delayed,Address Issue,SpeedLink
FUL_000069,ORD_000069,Sharjah Hub,Zone A,2025-11-13,2025-11-15,Delayed,Rider Unavailable,SpeedLink
FUL_000070,ORD_000070,Dubai Hub,Zone C,2025-11-13,2025-11-16,Delayed,Traffic/Weather,FastTrack
FUL_000071,ORD_000071,Abu Dhabi Hub,Zone A,2025-12-02,2025-12-01,On Time,,FastTrack
FUL_000072,ORD_000072,Sharjah Hub,Zone B,2026-01-07,2026-01-03,On Time,,QuickShip
FUL_000073,ORD_000073,Sharjah Hub,Zone E,2025-10-24,2025-10-24,On Time,,SpeedLink
FUL_000074,ORD_000074,Sharjah Hub,Zone C,2025-12-20,2025-12-19,On Time,,FastTrack
FUL_000075,ORD_000075,Sharjah Hub,Zone F,2025-11-17,,Failed,Order Cancelled,FastTrack
FUL_000076,ORD_000076,Dubai Hub,Zone D,2025-12-02,2025-12-02,On Time,,FastTrack
FUL_000077,ORD_000077,Abu Dhabi Hub,Zone A,2025-12-02,,Failed,Warehouse Delay,QuickShip
FUL_000078,ORD_000078,Dubai Hub,Zone C,2025-11-08,,Failed,Order Cancelled,QuickShip
FUL_000079,ORD_000079,Dubai Hub,Zone C,2025-12-29,,Pending,,QuickShip
FUL_000080,ORD_000080,Sharjah Hub,Zone C,2025-12-15,2025-12-15,On Time,,SpeedLink
FUL_000081,ORD_000081,Dubai Hub,Zone A,2025-12-02,2025-12-03,Delayed,Address Issue,FastTrack
FUL_000082,ORD_000082,Dubai Hub,Zone D,2025-12-27,,Pending,,QuickShip
FUL_000083,ORD_000083,Abu Dhabi Hub,Zone B,2025-12-10,,PENDING,,FastTrack
FUL_000084,ORD_000084,Sharjah Hub,Zone B,2025-11-30,2025-11-30,On Time,,SpeedLink
FUL_000085,ORD_000085,Abu Dhabi Hub,Zone F,2025-11-08,2025-11-07,On Time,,QuickShip
FUL_000086,ORD_000086,Abu Dhabi Hub,Zone F,2025-10-29,2025-11-06,Delayed,Address Issue,QuickShip
FUL_000087,ORD_000087,Abu Dhabi Hub,,2025-11-14,,Failed,Warehouse Delay,SpeedLink
FUL_000088,ORD_000088,Abu Dhabi Hub,Zone E,2025-12-23,2025-12-22,On Time,,SpeedLink
FUL_000089,ORD_000089,Dubai Hub,Zone E,2025-12-31,2025-12-31,On Time,,QuickShip
FUL_000090,ORD_000090,Dubai Hub,Zone E,2026-01-08,2026-01-06,On Time,,QuickShip
FUL_000091,ORD_000091,Dubai Hub,Zone B,2025-12-11,2025-12-11,On Time,,SpeedLink
FUL_000092,ORD_000092,Dubai Hub,Zone F,2025-12-26,2025-12-26,On Time,,FastTrack
FUL_000093,ORD_000093,Dubai Hub,Zone D,2025-10-10,,Pending,,QuickShip
FUL_000094,ORD_000094,Dubai Hub,Zone E,2025-10-12,2025-10-12,On Time,,QuickShip
FUL_000095,ORD_000095,Sharjah Hub,Zone C,2026-01-06,,Failed,Address Issue,QuickShip
FUL_000096,ORD_000096,Abu Dhabi Hub,Zone D,2025-12-29,,Failed,Traffic/Weather,FastTrack
FUL_000097,ORD_000097,Abu Dhabi Hub,Zone C,2025-12-20,2025-12-19,On Time,,SpeedLink
FUL_000098,ORD_000098,Dubai Hub,Zone A,2025-12-30,,Failed,Order Cancelled,SpeedLink
FUL_000099,ORD_000099,Dubai Hub,Zone E,2025-12-08,2025-12-07,On Time,,QuickShip
FUL_000100,ORD_000100,Dubai Hub,Zone A,2025-12-17,2025-12-15,On Time,,SpeedLink
FUL_000101,ORD_000101,Dubai Hub,Zone D,2025-12-01,2025-11-30,On Time,,SpeedLink
FUL_000102,ORD_000102,Dubai Hub,Zone E,2025-11-03,2025-11-02,On Time,,QuickShip
FUL_000103,ORD_000103,Abu Dhabi Hub,Zone B,2026-01-07,2026-01-06,On Time,,SpeedLink
FUL_000104,ORD_000104,Dubai Hub,Zone E,2026-01-04,,Pending,,FastTrack
FUL_000105,ORD_000105,Abu Dhabi Hub,Zone D,2025-12-09,,Failed,Traffic/Weather,SpeedLink
FUL_000106,ORD_000106,Abu Dhabi Hub,Zone C,2026-01-07,2026-01-05,On Time,,QuickShip
FUL_000107,ORD_000107,Sharjah Hub,Zone A,2025-12-23,2025-12-22,On Time,,FastTrack
FUL_000108,ORD_000108,Dubai Hub,Zone F,2025-12-30,2025-12-30,On Time,,QuickShip
FUL_000109,ORD_000109,Abu Dhabi Hub,Zone C,2025-12-15,2025-12-15,On Time,,SpeedLink
FUL_000110,ORD_000110,Dubai Hub,Zone C,2026-01-01,2026-01-01,On Time,,FastTrack
FUL_000111,ORD_000111,Sharjah Hub,Zone E,2025-10-21,,Pending,,FastTrack
FUL_000112,ORD_000112,Dubai Hub,Zone A,2025-10-25,,Failed,Order Cancelled,FastTrack
FUL_000113,ORD_000113,Dubai Hub,Zone D,2025-12-27,2025-12-28,Delayed,Customer Unavailable,FastTrack
FUL_000114,ORD_000114,Abu Dhabi Hub,Zone D,2025-12-31,2026-01-07,Delayed,Traffic/Weather,FastTrack
FUL_000115,ORD_000115,Dubai Hub,Zone D,2025-11-15,,Pending,,FastTrack
FUL_000116,ORD_000116,Dubai Hub,Zone A,2025-12-11,2025-12-16,Delayed,Address Issue,SpeedLink
FUL_000117,ORD_000117,Abu Dhabi Hub,Zone E,2025-12-27,2025-12-26,On Time,,QuickShip
FUL_000118,ORD_000118,Abu Dhabi Hub,Zone D,2025-11-10,2025-11-09,on-time,,FastTrack
FUL_000119,ORD_000119,Sharjah Hub,Zone E,2025-12-06,2025-12-06,On Time,,QuickShip
FUL_000120,ORD_000120,Sharjah Hub,Zone F,2025-12-13,2025-12-18,Delayed,Warehouse Delay,SpeedLink
FUL_000121,ORD_000121,Dubai Hub,Zone E,2025-12-11,2025-12-11,On Time,,QuickShip
FUL_000122,ORD_000122,Dubai Hub,Zone A,2025-12-06,2025-12-06,On Time,,SpeedLink
FUL_000123,ORD_000123,Abu Dhabi Hub,Zone E,2025-12-03,,Pending,,FastTrack
FUL_000124,ORD_000124,Abu Dhabi Hub,Zone E,2025-10-26,2025-11-04,Delayed,Warehouse Delay,QuickShip
FUL_000125,ORD_000125,Abu Dhabi Hub,Zone E,2025-10-22,2025-10-24,Delayed,Warehouse Delay,SpeedLink
FUL_000126,ORD_000126,Abu Dhabi Hub,Zone A,2025-11-16,2025-11-12,On Time,,FastTrack
FUL_000127,ORD_000127,Sharjah Hub,Zone D,2025-10-10,2025-10-17,Delayed,Customer Unavailable,QuickShip
FUL_000128,ORD_000128,Dubai Hub,Zone F,2025-10-12,2025-10-09,OnTime,,SpeedLink
FUL_000129,ORD_000129,Abu Dhabi Hub,Zone B,2026-01-01,,Failed,Customer Unavailable,QuickShip
FUL_000130,ORD_000130,Dubai Hub,Zone F,2025-12-12,2025-12-19,Delayed,Traffic/Weather,FastTrack
FUL_000131,ORD_000131,Dubai Hub,Zone A,2025-12-30,2026-01-02,Delayed,Rider Unavailable,QuickShip
FUL_000132,ORD_000132,Dubai Hub,Zone D,2025-11-19,2025-11-18,On Time,,FastTrack
FUL_000133,ORD_000133,Sharjah Hub,Zone C,2025-11-24,,Pending,,QuickShip
FUL_000134,ORD_000134,Sharjah Hub,Zone B,2025-12-22,,Pending,,SpeedLink
FUL_000135,ORD_000135,Dubai Hub,Zone A,2025-10-22,2025-10-21,On Time,,FastTrack
FUL_000136,ORD_000136,Sharjah Hub,Zone B,2025-10-26,,Pending,,QuickShip
FUL_000137,ORD_000137,Dubai Hub,Zone F,2025-10-24,,Pending,,SpeedLink
FUL_000138,ORD_000138,Dubai Hub,Zone B,2025-11-09,2025-11-08,On Time,,QuickShip
FUL_000139,ORD_000139,Dubai Hub,Zone C,2026-01-04,2026-01-04,On Time,,QuickShip
FUL_000140,ORD_000140,Abu Dhabi Hub,Zone C,2025-12-01,2025-12-10,Delayed,Traffic/Weather,SpeedLink
FUL_000141,ORD_000141,Sharjah Hub,Zone B,2025-11-18,2025-11-17,On Time,,SpeedLink
FUL_000142,ORD_000142,Dubai Hub,Zone B,2026-01-06,2026-01-05,On Time,,QuickShip
FUL_000143,ORD_000143,Sharjah Hub,Zone B,2025-12-09,2025-12-07,On Time,,SpeedLink
FUL_000144,ORD_000144,Sharjah Hub,Zone A,2025-10-18,2025-10-15,On Time,,SpeedLink
FUL_000145,ORD_000145,Dubai Hub,Zone C,2025-12-17,2025-12-16,On Time,,QuickShip
FUL_000146,ORD_000146,Sharjah Hub,Zone F,2025-12-01,2025-11-30,On Time,,QuickShip
FUL_000147,ORD_000147,Abu Dhabi Hub,Zone F,2026-01-07,2026-01-07,On Time,,FastTrack
FUL_000148,ORD_000148,Dubai Hub,Zone A,2025-11-23,2025-11-23,On Time,,FastTrack
FUL_000149,ORD_000149,Dubai Hub,Zone A,2025-10-22,2025-10-20,On Time,,FastTrack
FUL_000150,ORD_000150,Abu Dhabi Hub,Zone B,2025-11-18,2025-11-16,On Time,,FastTrack
FUL_000151,ORD_000151,Sharjah Hub,Zone C,2025-12-30,2026-01-03,Delayed,Customer Unavailable,FastTrack
FUL_000152,ORD_000152,Dubai Hub,Zone A,2026-01-09,2026-01-07,On Time,,SpeedLink
FUL_000153,ORD_000153,Dubai Hub,Zone C,2025-11-02,2025-11-04,Delayed,Address Issue,FastTrack
FUL_000154,ORD_000154,Abu Dhabi Hub,Zone E,2025-12-09,2025-12-08,On Time,,QuickShip
FUL_000155,ORD_000155,Dubai Hub,Zone D,2025-10-31,2025-10-31,On Time,,QuickShip
FUL_000156,ORD_000156,Sharjah Hub,Zone A,2025-12-06,,Failed,Order Cancelled,SpeedLink
FUL_000157,ORD_000157,Dubai Hub,Zone F,2025-12-21,2025-12-23,Delayed,Address Issue,QuickShip
FUL_000158,ORD_000158,Abu Dhabi Hub,Zone C,2025-11-30,,Pending,,FastTrack
FUL_000159,ORD_000159,Dubai Hub,Zone C,2026-01-10,,Failed,Customer Unavailable,FastTrack
FUL_000160,ORD_000160,Dubai Hub,Zone C,2025-12-06,,Pending,,FastTrack
FUL_000161,ORD_000161,Dubai Hub,Zone D,2025-10-30,2025-10-28,On Time,,FastTrack
FUL_000162,ORD_000162,Dubai Hub,Zone E,2025-10-21,,Pending,,SpeedLink
FUL_000163,ORD_000163,Dubai Hub,Zone F,2025-11-22,2025-11-19,On Time,,FastTrack
FUL_000164,ORD_000164,Abu Dhabi Hub,Zone E,2025-12-02,,Failed,Order Cancelled,FastTrack
FUL_000165,ORD_000165,Dubai Hub,Zone A,2025-12-29,2026-01-03,Delayed,Warehouse Delay,FastTrack
FUL_000166,ORD_000166,Dubai Hub,Zone B,2025-12-30,,Failed,Customer Unavailable,SpeedLink
FUL_000167,ORD_000167,Sharjah Hub,Zone B,2025-10-25,2025-10-24,On Time,,QuickShip
FUL_000168,ORD_000168,Abu Dhabi Hub,Zone F,2025-10-12,,Pending,,QuickShip
FUL_000169,ORD_000169,Dubai Hub,Zone B,2025-12-15,2025-12-14,On Time,,SpeedLink
FUL_000170,ORD_000170,Dubai Hub,Zone F,2025-10-26,2025-10-25,On Time,,SpeedLink
FUL_000171,ORD_000171,Dubai Hub,Zone A,2025-10-10,2025-10-10,On Time,,SpeedLink
FUL_000172,ORD_000172,Dubai Hub,Zone D,2025-10-10,2025-10-14,Delayed,Rider Unavailable,SpeedLink
FUL_000173,ORD_000173,Dubai Hub,Zone A,2025-11-03,2025-11-03,on-time,,QuickShip
FUL_000174,ORD_000174,Dubai Hub,Zone D,2025-11-14,2025-11-19,Delayed,Address Issue,FastTrack
FUL_000175,ORD_000175,Dubai Hub,Zone B,2025-10-13,2025-10-12,On Time,,FastTrack
FUL_000176,ORD_000176,Sharjah Hub,Zone E,2025-10-22,2025-10-19,On Time,,QuickShip
FUL_000177,ORD_000177,Dubai Hub,Zone D,2026-01-08,2026-01-05,On Time,,QuickShip
FUL_000178,ORD_000178,Dubai Hub,Zone F,2025-10-16,2025-10-15,On Time,,QuickShip
FUL_000179,ORD_000179,Dubai Hub,Zone A,2025-11-26,2025-11-23,On Time,,QuickShip
FUL_000180,ORD_000180,Sharjah Hub,Zone B,2025-11-07,2025-11-06,On Time,,QuickShip
FUL_000181,ORD_000181,Dubai Hub,Zone D,2025-11-30,2025-11-30,On Time,,QuickShip
FUL_000182,ORD_000182,Dubai Hub,Zone D,2025-11-19,2025-11-22,Delayed,Rider Unavailable,SpeedLink
FUL_000183,ORD_000183,Dubai Hub,Zone C,2025-12-25,,Failed,Order Cancelled,QuickShip
FUL_000184,ORD_000184,Dubai Hub,Zone C,2025-11-15,2025-11-18,Delayed,Customer Unavailable,FastTrack
FUL_000185,ORD_000185,Abu Dhabi Hub,Zone A,2025-11-28,2025-11-29,Delayed,Traffic/Weather,FastTrack
FUL_000186,ORD_000186,Dubai Hub,Zone D,2026-01-06,,Failed,Order Cancelled,FastTrack
FUL_000187,ORD_000187,Sharjah Hub,Zone A,2025-11-26,2025-11-25,On Time,,QuickShip
FUL_000188,ORD_000188,Abu Dhabi Hub,Zone C,2025-12-14,2025-12-10,On Time,,FastTrack
FUL_000189,ORD_000189,Sharjah Hub,Zone F,2025-11-15,2025-11-16,Delayed,Traffic/Weather,SpeedLink
FUL_000190,ORD_000190,Sharjah Hub,Zone F,2025-12-15,2025-12-13,On Time,,SpeedLink
FUL_000191,ORD_000191,Dubai Hub,Zone D,2025-11-08,,Pending,,QuickShip
FUL_000192,ORD_000192,Sharjah Hub,Zone A,2025-10-29,2025-11-02,Delayed,Warehouse Delay,SpeedLink
FUL_000193,ORD_000193,Dubai Hub,Zone D,2025-10-20,2025-10-19,On Time,,FastTrack
FUL_000194,ORD_000194,Dubai Hub,Zone B,2025-12-02,,Failed,Order Cancelled,FastTrack
FUL_000195,ORD_000195,Sharjah Hub,Zone E,2025-11-03,,Pending,,QuickShip
FUL_000196,ORD_000196,Abu Dhabi Hub,Zone E,2025-12-08,2025-12-08,On Time,,FastTrack
FUL_000197,ORD_000197,Dubai Hub,Zone E,2026-01-01,2025-12-29,On Time,,FastTrack
FUL_000198,ORD_000198,Dubai Hub,Zone D,2025-12-22,2025-12-19,On Time,,SpeedLink
FUL_000199,ORD_000199,Dubai Hub,Zone E,2025-11-05,2025-11-04,On Time,,QuickShip
FUL_000200,ORD_000200,Dubai Hub,Zone F,2025-12-14,2025-12-13,On Time,,SpeedLink
FUL_000201,ORD_000201,Dubai Hub,Zone A,2025-12-29,2026-01-03,Delayed,Traffic/Weather,QuickShip
FUL_000202,ORD_000202,Abu Dhabi Hub,Zone A,2025-12-12,2025-12-14,Delayed,Warehouse Delay,QuickShip
FUL_000203,ORD_000203,Dubai Hub,Zone C,2025-10-23,2025-10-20,On Time,,FastTrack
FUL_000204,ORD_000204,Sharjah Hub,Zone C,2025-11-10,2025-11-08,On Time,,QuickShip
FUL_000205,ORD_000205,Sharjah Hub,Zone D,2025-11-26,2025-11-23,On Time,,SpeedLink
FUL_000206,ORD_000206,Abu Dhabi Hub,Zone A,2025-11-23,,Pending,,FastTrack
FUL_000207,ORD_000207,Abu Dhabi Hub,Zone A,2025-11-15,2025-11-11,On Time,,SpeedLink
FUL_000208,ORD_000208,Dubai Hub,Zone F,2025-11-26,,Pending,,FastTrack
FUL_000209,ORD_000209,Dubai Hub,Zone F,2025-10-27,2025-10-24,On Time,,SpeedLink
FUL_000210,ORD_000210,Abu Dhabi Hub,Zone D,2025-11-12,2025-11-20,Delayed,Rider Unavailable,FastTrack
FUL_000211,ORD_000211,Dubai Hub,Zone C,2025-11-12,2025-11-11,On Time,,SpeedLink
FUL_000212,ORD_000212,Dubai Hub,Zone D,2025-11-26,,Pending,,FastTrack
FUL_000213,ORD_000213,Dubai Hub,Zone E,2025-10-24,,Pending,,SpeedLink
FUL_000214,ORD_000214,Abu Dhabi Hub,Zone A,2025-11-22,2025-11-21,On Time,,SpeedLink
FUL_000215,ORD_000215,Abu Dhabi Hub,Zone C,2026-01-04,2026-01-09,Delayed,Warehouse Delay,QuickShip
FUL_000216,ORD_000216,Dubai Hub,Zone C,2025-10-14,2025-10-14,On Time,,SpeedLink
FUL_000217,ORD_000217,Abu Dhabi Hub,Zone A,2025-12-29,2025-12-26,On Time,,FastTrack
FUL_000218,ORD_000218,Dubai Hub,Zone C,2025-10-23,,Pending,,SpeedLink
FUL_000219,ORD_000219,Abu Dhabi Hub,Zone B,2025-11-16,2025-11-16,On Time,,QuickShip
FUL_000220,ORD_000220,Dubai Hub,Zone A,2025-12-23,2025-12-20,On Time,,FastTrack
FUL_000221,ORD_000221,Dubai Hub,Zone E,2026-01-04,2026-01-02,On Time,,QuickShip
FUL_000222,ORD_000222,Dubai Hub,Zone E,2026-01-05,2026-01-05,On Time,,FastTrack
FUL_000223,ORD_000223,Dubai Hub,Zone C,2025-10-23,2025-10-23,On Time,,FastTrack
FUL_000224,ORD_000224,Dubai Hub,Zone A,2025-10-15,2025-10-12,On Time,,SpeedLink
FUL_000225,ORD_000225,Abu Dhabi Hub,Zone C,2025-12-06,2025-12-05,On Time,,SpeedLink
FUL_000226,ORD_000226,Sharjah Hub,Zone A,2025-10-30,2025-10-30,On Time,,FastTrack
FUL_000227,ORD_000227,Sharjah Hub,Zone E,2025-10-12,2025-10-12,On Time,,FastTrack
FUL_000228,ORD_000228,Dubai Hub,Zone E,2025-11-30,2025-11-30,On Time,,FastTrack
FUL_000229,ORD_000229,Abu Dhabi Hub,Zone B,2025-12-10,,Pending,,FastTrack
FUL_000230,ORD_000230,Dubai Hub,Zone C,2025-11-29,2025-11-27,On Time,,SpeedLink
FUL_000231,ORD_000231,Dubai Hub,Zone E,2025-10-30,2025-10-29,On Time,,QuickShip
FUL_000232,ORD_000232,Dubai Hub,Zone A,2025-11-06,2025-11-05,On Time,,QuickShip
FUL_000233,ORD_000233,Sharjah Hub,Zone E,2025-12-29,2025-12-28,On Time,,QuickShip
FUL_000234,ORD_000234,Sharjah Hub,Zone F,2026-01-04,,Failed,Order Cancelled,QuickShip
FUL_000235,ORD_000235,Abu Dhabi Hub,Zone C,2025-10-17,2025-10-17,On Time,,QuickShip
FUL_000236,ORD_000236,Dubai Hub,Zone F,2025-10-23,2025-10-19,On Time,,SpeedLink
FUL_000237,ORD_000237,Sharjah Hub,Zone A,2025-12-07,,Pending,,SpeedLink
FUL_000238,ORD_000238,Sharjah Hub,Zone A,2025-10-29,2025-11-06,Delayed,Traffic/Weather,SpeedLink
FUL_000239,ORD_000239,Sharjah Hub,Zone D,2025-11-03,,Failed,Traffic/Weather,FastTrack
FUL_000240,ORD_000240,Dubai Hub,Zone F,2025-12-27,2026-01-01,Delayed,Rider Unavailable,SpeedLink
FUL_000241,ORD_000241,Abu Dhabi Hub,Zone C,2025-10-21,,Failed,Order Cancelled,QuickShip
FUL_000242,ORD_000242,Dubai Hub,Zone A,2025-10-17,2025-10-16,ON TIME,,FastTrack
FUL_000243,ORD_000243,Abu Dhabi Hub,Zone A,2025-11-16,2025-11-15,On Time,,FastTrack
FUL_000244,ORD_000244,Sharjah Hub,Zone E,2025-11-01,,Failed,Address Issue,FastTrack
FUL_000245,ORD_000245,Dubai Hub,Zone A,2025-12-10,,Failed,Customer Unavailable,SpeedLink
FUL_000246,ORD_000246,Sharjah Hub,Zone A,2025-12-09,2025-12-08,On Time,,SpeedLink
FUL_000247,ORD_000247,Abu Dhabi Hub,Zone C,2025-12-15,2025-12-15,On Time,,SpeedLink
FUL_000248,ORD_000248,Dubai Hub,Zone E,2025-12-21,2025-12-20,On Time,,FastTrack
FUL_000249,ORD_000249,Abu Dhabi Hub,Zone C,2025-12-21,2025-12-18,On Time,,FastTrack
FUL_000250,ORD_000250,Dubai Hub,Zone E,2025-10-29,,Pending,,QuickShip
FUL_000251,ORD_000251,Dubai Hub,Zone B,2025-11-10,2025-11-19,Delayed,Traffic/Weather,FastTrack
FUL_000252,ORD_000252,Dubai Hub,Zone C,2025-11-18,,Pending,,FastTrack
FUL_000253,ORD_000253,Dubai Hub,Zone B,2025-11-05,,Pending,,QuickShip
FUL_000254,ORD_000254,Dubai Hub,Zone E,2025-12-25,2025-12-24,On Time,,QuickShip
